                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.3254,                 2.1029,                  1.323,                 1.3173,                0.66903,                0.54477,                0.61325,                0.36762,                0.64833,                0.52849,                 0.5763,                0.31715,                 1.4604,                 2.4878,                 1.4417,                 1.4579,             0.00099001,             0.00099001,             0.00099001
                     25,                 1.3152,                 2.1023,                 1.3551,                  1.315,                0.52068,                0.50919,                0.50569,                0.31263,                0.52862,                0.51169,                0.50491,                0.26778,                 1.5393,                 2.5671,                 1.6763,                 1.5566,             0.00098451,             0.00098451,             0.00098451
                     26,                 1.3069,                 2.0511,                  1.317,                 1.3034,                0.58803,                0.51873,                0.54709,                0.33685,                0.58637,                0.49789,                0.52623,                 0.2862,                 1.4552,                 2.4673,                 1.5952,                 1.5114,             0.00097901,             0.00097901,             0.00097901
                     27,                 1.2822,                 2.0023,                  1.278,                 1.2766,                0.61693,                0.56312,                0.58032,                0.33769,                0.61377,                0.54975,                0.56518,                0.29235,                 1.5452,                   2.48,                  1.505,                 1.5774,             0.00097351,             0.00097351,             0.00097351
                     28,                 1.3165,                 2.1013,                 1.3168,                 1.3008,                0.58874,                0.55246,                0.59018,                0.35062,                 0.5961,                0.53726,                0.56867,                0.31181,                  1.545,                  2.473,                 1.3998,                 1.5551,             0.00096801,             0.00096801,             0.00096801
                     29,                 1.2763,                 2.0351,                 1.2699,                 1.2827,                0.53763,                0.58282,                0.57585,                0.35586,                0.53604,                 0.5591,                0.55451,                0.30565,                 1.4764,                 2.5298,                 1.4052,                 1.5225,             0.00096251,             0.00096251,             0.00096251
                     30,                 1.2575,                 2.0332,                 1.2686,                 1.2812,                0.49399,                0.61657,                0.58054,                0.35748,                0.52543,                0.54329,                0.55563,                0.31854,                 1.5131,                 2.4749,                 1.5266,                 1.5432,             0.00095702,             0.00095702,             0.00095702
                     31,                 1.2946,                 2.0291,                 1.2688,                 1.2892,                0.57423,                0.59859,                 0.5811,                0.35658,                0.57289,                0.59775,                0.57625,                0.31419,                 1.4688,                 2.3533,                 1.3832,                 1.4874,             0.00095152,             0.00095152,             0.00095152
                     32,                 1.2441,                 2.0044,                 1.2317,                 1.2768,                0.61778,                0.57584,                0.61971,                0.38424,                 0.6111,                0.56781,                0.59721,                0.33895,                 1.4789,                 2.4671,                 1.3737,                 1.4861,             0.00094602,             0.00094602,             0.00094602
                     33,                 1.2328,                 1.9663,                  1.184,                 1.2605,                0.62276,                0.58982,                0.59735,                0.37014,                0.61519,                0.57858,                0.57204,                0.32689,                 1.4844,                 2.4764,                 1.3608,                 1.5062,             0.00094052,             0.00094052,             0.00094052
                     34,                 1.2396,                  1.988,                   1.23,                 1.2524,                0.64134,                0.58645,                0.62499,                0.38097,                0.62638,                0.58292,                0.59891,                0.33501,                 1.5136,                 2.4546,                  1.306,                 1.5268,             0.00093502,             0.00093502,             0.00093502
                     35,                 1.2215,                 1.9503,                 1.2219,                  1.252,                0.62612,                 0.6148,                 0.6522,                0.40179,                0.64157,                0.59016,                0.63879,                0.35085,                 1.4511,                 2.4109,                 1.2838,                 1.4914,             0.00092952,             0.00092952,             0.00092952
                     36,                 1.2197,                 1.9242,                 1.1743,                  1.239,                0.59441,                0.57968,                0.62049,                 0.3793,                 0.5769,                0.58528,                 0.6082,                0.33254,                  1.469,                  2.454,                 1.3959,                 1.4864,             0.00092402,             0.00092402,             0.00092402
                     37,                 1.2197,                 1.9144,                 1.1564,                 1.2374,                0.70433,                0.55586,                0.64319,                0.39306,                 0.6982,                0.54773,                0.62474,                0.34115,                 1.4616,                 2.3704,                 1.3786,                 1.4763,             0.00091852,             0.00091852,             0.00091852
                     38,                 1.1933,                 1.9039,                 1.1462,                 1.2305,                 0.6152,                0.63664,                0.66013,                0.39975,                0.62658,                0.62546,                0.64879,                0.35728,                 1.4603,                 2.3571,                 1.3376,                 1.5401,             0.00091302,             0.00091302,             0.00091302
                     39,                  1.199,                 1.9325,                 1.1592,                 1.2478,                0.58644,                0.54763,                0.57418,                0.35015,                0.58018,                 0.5404,                0.55826,                0.29917,                 1.4776,                  2.511,                 1.5094,                  1.499,             0.00090752,             0.00090752,             0.00090752
                     40,                 1.1729,                 1.9157,                 1.1392,                 1.2314,                0.62337,                0.60741,                0.62612,                0.39969,                0.63461,                0.59799,                0.61578,                0.34852,                 1.4436,                 2.3898,                 1.3506,                 1.4935,             0.00090202,             0.00090202,             0.00090202
                     41,                 1.1718,                 1.8821,                 1.1311,                 1.2354,                0.64496,                 0.6428,                0.64845,                0.40035,                0.66558,                0.59539,                0.62728,                0.35253,                 1.4722,                 2.4521,                 1.2609,                 1.4887,             0.00089652,             0.00089652,             0.00089652
                     42,                 1.1864,                 1.8932,                 1.1152,                 1.2158,                0.64442,                0.59649,                0.63698,                0.39601,                 0.6565,                0.57714,                0.61711,                0.35265,                 1.4656,                 2.3934,                  1.326,                 1.5004,             0.00089102,             0.00089102,             0.00089102
                     43,                  1.178,                 1.8762,                 1.0932,                  1.212,                0.61383,                0.61604,                0.62944,                0.38525,                0.60156,                0.60162,                0.62031,                0.33534,                  1.476,                 2.3725,                 1.2938,                 1.5089,             0.00088552,             0.00088552,             0.00088552
                     44,                  1.138,                 1.8275,                  1.056,                 1.1959,                0.54086,                0.67212,                0.66198,                0.40693,                0.52874,                0.65711,                0.63869,                 0.3538,                  1.466,                 2.4293,                 1.4554,                 1.5051,             0.00088002,             0.00088002,             0.00088002
                     45,                 1.1687,                 1.8676,                 1.1121,                 1.2309,                 0.6417,                 0.6023,                0.62944,                0.36497,                 0.6684,                0.56289,                0.59789,                0.32245,                 1.4937,                 2.3624,                 1.4219,                 1.5752,             0.00087452,             0.00087452,             0.00087452
                     46,                 1.1975,                  1.887,                 1.0803,                 1.2376,                 0.7052,                0.60315,                   0.66,                0.41175,                0.70895,                0.60541,                0.65073,                0.36426,                 1.4467,                 2.3221,                 1.3194,                 1.4831,             0.00086902,             0.00086902,             0.00086902
                     47,                 1.1742,                 1.8602,                 1.0652,                 1.2185,                0.60088,                0.58231,                0.62098,                0.39467,                0.61219,                0.54186,                0.60069,                0.33109,                 1.4369,                 2.4747,                 1.3425,                 1.4504,             0.00086352,             0.00086352,             0.00086352
                     48,                   1.19,                 1.8809,                 1.0515,                 1.2136,                0.55914,                 0.5841,                0.60502,                0.37303,                0.55777,                0.57895,                0.59297,                0.33174,                 1.4519,                 2.3699,                 1.3379,                 1.4822,             0.00085803,             0.00085803,             0.00085803
                     49,                 1.1677,                 1.8937,                 1.0883,                 1.2137,                0.70788,                0.60545,                0.66154,                0.40636,                0.68534,                0.60113,                0.64514,                 0.3607,                  1.453,                 2.4365,                  1.292,                 1.5064,             0.00085253,             0.00085253,             0.00085253
                     50,                 1.1537,                 1.8174,                 1.0149,                 1.2019,                0.62077,                0.62846,                0.64732,                0.40389,                0.60895,                0.61696,                0.63185,                0.34873,                 1.4731,                 2.3841,                  1.303,                    1.5,             0.00084703,             0.00084703,             0.00084703
                     51,                 1.1197,                 1.8191,                 1.0303,                 1.1934,                0.65916,                0.60659,                0.67312,                0.42336,                0.66381,                0.61206,                0.66154,                0.37474,                 1.4853,                 2.4111,                 1.3098,                 1.5142,             0.00084153,             0.00084153,             0.00084153
                     52,                 1.0983,                 1.7717,                  1.004,                 1.1882,                0.65881,                0.63382,                0.63971,                0.40474,                0.65052,                0.62476,                0.62235,                0.35438,                 1.4522,                 2.4252,                 1.2403,                 1.5009,             0.00083603,             0.00083603,             0.00083603
                     53,                 1.1056,                 1.7592,                 1.0193,                 1.1796,                0.62362,                0.61747,                0.65129,                0.41079,                0.63668,                0.58442,                0.62627,                0.35381,                 1.4445,                 2.5151,                 1.3092,                 1.5269,             0.00083053,             0.00083053,             0.00083053
                     54,                 1.1291,                 1.7958,                0.98325,                 1.1993,                0.60868,                0.61228,                0.66186,                0.41729,                0.62225,                0.59446,                0.65132,                0.36372,                 1.4351,                 2.3592,                 1.3123,                 1.4855,             0.00082503,             0.00082503,             0.00082503
                     55,                  1.119,                 1.8024,                0.98061,                 1.1858,                0.67211,                0.58063,                0.64085,                0.41285,                0.68957,                0.56966,                0.62609,                0.35811,                 1.3851,                 2.3635,                  1.249,                 1.4501,             0.00081953,             0.00081953,             0.00081953
                     56,                 1.1146,                   1.79,                 1.0041,                 1.1912,                0.71372,                0.60039,                0.67587,                 0.4269,                0.70398,                0.58829,                0.65015,                0.37168,                 1.4118,                 2.4833,                 1.2006,                 1.5141,             0.00081403,             0.00081403,             0.00081403
                     57,                 1.0776,                 1.7909,                0.97036,                 1.1662,                0.67092,                0.56353,                0.62513,                0.39322,                0.66186,                0.55825,                0.59976,                0.33933,                  1.379,                  2.379,                 1.3004,                 1.4186,             0.00080853,             0.00080853,             0.00080853
                     58,                 1.0764,                 1.7606,                 0.9777,                 1.1619,                0.66462,                 0.5898,                0.66527,                0.42193,                 0.6965,                0.56341,                0.66378,                0.37014,                  1.408,                  2.502,                 1.2427,                  1.459,             0.00080303,             0.00080303,             0.00080303
                     59,                 1.0876,                 1.7491,                0.96532,                 1.1695,                0.73336,                0.60575,                0.67778,                0.42818,                0.68973,                0.62968,                0.65554,                0.36701,                 1.4275,                 2.5035,                 1.2546,                 1.4932,             0.00079753,             0.00079753,             0.00079753
                     60,                 1.1009,                 1.7745,                0.94994,                 1.1697,                0.65843,                0.62075,                0.66634,                0.41213,                0.66003,                0.60663,                0.64293,                0.36003,                 1.4535,                 2.3967,                 1.3143,                 1.4731,             0.00079203,             0.00079203,             0.00079203
                     61,                 1.0948,                 1.7125,                0.91058,                 1.1537,                0.65102,                0.64307,                0.68884,                0.43149,                 0.6317,                0.63211,                0.66901,                0.37607,                 1.3757,                 2.4416,                 1.1209,                 1.4372,             0.00078653,             0.00078653,             0.00078653
                     62,                 1.0291,                 1.6847,                0.89423,                 1.1482,                0.70272,                0.58607,                0.65254,                0.41599,                0.69162,                0.58881,                0.64569,                0.36539,                 1.4304,                 2.4688,                 1.2366,                  1.483,             0.00078103,             0.00078103,             0.00078103
                     63,                 1.0573,                 1.7076,                0.90219,                 1.1551,                0.68148,                0.62346,                0.67507,                0.41918,                0.66555,                0.61047,                 0.6452,                0.37241,                 1.4117,                 2.4408,                 1.1683,                 1.4818,             0.00077553,             0.00077553,             0.00077553
                     64,                 1.0317,                 1.6887,                0.89853,                 1.1477,                  0.716,                0.62271,                0.68319,                0.43828,                0.69822,                0.61571,                0.66437,                0.37804,                 1.3966,                 2.4718,                 1.1551,                 1.4611,             0.00077003,             0.00077003,             0.00077003
                     65,                 1.0772,                  1.753,                  0.908,                 1.1625,                0.65366,                0.62178,                0.65538,                 0.4185,                 0.6381,                0.61627,                0.65105,                0.36973,                 1.4294,                 2.3863,                 1.2374,                 1.4773,             0.00076453,             0.00076453,             0.00076453
                     66,                 1.0234,                 1.6641,                0.93202,                 1.1426,                0.63401,                0.63686,                0.64317,                0.39562,                 0.6307,                0.63208,                0.62779,                0.34643,                 1.4652,                 2.4233,                 1.3241,                 1.5166,             0.00075904,             0.00075904,             0.00075904
                     67,                 1.0353,                  1.722,                0.88898,                 1.1398,                0.64236,                0.65982,                0.67291,                0.42821,                0.73123,                0.58084,                0.65728,                0.37321,                 1.3705,                 2.4505,                 1.1258,                 1.4574,             0.00075354,             0.00075354,             0.00075354
                     68,                0.98507,                 1.6315,                0.86608,                 1.1265,                0.68593,                0.65925,                0.69381,                0.44711,                0.69104,                0.63324,                0.66936,                0.39173,                 1.4117,                 2.4316,                  1.137,                 1.4793,             0.00074804,             0.00074804,             0.00074804
                     69,                  1.023,                 1.6331,                0.84144,                 1.1347,                0.68654,                0.61719,                 0.6888,                0.43261,                0.68927,                 0.6167,                 0.6769,                0.39089,                 1.4272,                 2.4071,                 1.1675,                 1.5072,             0.00074254,             0.00074254,             0.00074254
                     70,                 1.0316,                 1.6484,                0.86082,                 1.1375,                0.61693,                0.66409,                0.65482,                 0.4129,                 0.6229,                0.64458,                0.63942,                0.35989,                 1.4167,                 2.3845,                 1.2759,                 1.4728,             0.00073704,             0.00073704,             0.00073704
                     71,                 1.0143,                 1.6342,                0.84245,                 1.1285,                0.69303,                0.64398,                0.69706,                0.43623,                0.67197,                0.62479,                0.66366,                0.37547,                 1.4101,                  2.432,                 1.0991,                 1.4668,             0.00073154,             0.00073154,             0.00073154
                     72,                 1.0081,                 1.6417,                0.84668,                 1.1284,                0.71637,                0.61328,                0.67698,                0.43336,                0.71466,                0.60339,                0.65837,                0.38228,                 1.4589,                 2.4158,                 1.2037,                 1.5169,             0.00072604,             0.00072604,             0.00072604
                     73,                 1.0102,                 1.6249,                 0.8407,                 1.1273,                0.73448,                0.57302,                0.66294,                0.41141,                0.72845,                0.56871,                0.65676,                0.36866,                 1.4269,                 2.3812,                 1.2153,                 1.4811,             0.00072054,             0.00072054,             0.00072054
                     74,                0.99082,                 1.5874,                0.82088,                  1.124,                0.67443,                0.63218,                0.67944,                0.42718,                0.66909,                0.61362,                0.65163,                0.37356,                 1.4451,                 2.4775,                 1.1572,                 1.5047,             0.00071504,             0.00071504,             0.00071504
                     75,                0.98514,                 1.6426,                0.81785,                 1.1226,                0.69473,                0.62039,                0.66622,                0.42876,                0.68233,                0.62172,                0.64512,                0.36259,                 1.4405,                 2.5635,                 1.1504,                 1.5201,             0.00070954,             0.00070954,             0.00070954
                     76,                0.99273,                 1.6399,                0.83645,                 1.1119,                0.75097,                0.59104,                0.67806,                0.43092,                0.72604,                0.57726,                0.65199,                0.37475,                 1.4509,                 2.5173,                 1.1874,                 1.5257,             0.00070404,             0.00070404,             0.00070404
                     77,                0.99014,                 1.6105,                0.82251,                 1.1148,                 0.6506,                0.68991,                0.68315,                0.43552,                0.63475,                0.67046,                0.66223,                0.37479,                 1.3995,                 2.4284,                 1.2071,                 1.4811,             0.00069854,             0.00069854,             0.00069854
                     78,                0.96798,                 1.5917,                0.80864,                 1.0949,                 0.7249,                 0.6218,                0.69054,                0.44418,                0.66991,                0.63476,                0.67407,                0.38633,                 1.4169,                 2.4253,                 1.1589,                 1.4793,             0.00069304,             0.00069304,             0.00069304
                     79,                0.97795,                 1.6137,                 0.8016,                   1.09,                0.64317,                0.63993,                0.67716,                0.43955,                 0.6358,                0.63313,                0.65665,                0.37828,                 1.4146,                 2.4339,                 1.1655,                 1.4928,             0.00068754,             0.00068754,             0.00068754
                     80,                0.93771,                 1.5274,                 0.8087,                 1.1032,                0.67351,                0.65024,                0.69552,                0.44428,                   0.67,                0.64652,                0.67986,                0.38696,                 1.4232,                 2.4945,                 1.1015,                 1.5077,             0.00068204,             0.00068204,             0.00068204
                     81,                0.93899,                 1.5888,                 0.7881,                 1.0948,                0.69928,                0.61229,                0.69322,                0.42968,                0.74868,                0.57755,                0.67179,                0.37377,                 1.4409,                 2.5178,                 1.1401,                 1.5286,             0.00067654,             0.00067654,             0.00067654
                     82,                0.94264,                  1.588,                0.76331,                 1.0811,                0.75296,                0.62896,                0.71305,                0.45038,                0.73391,                0.61595,                0.69043,                0.38485,                 1.3636,                 2.4672,                 1.0887,                 1.4647,             0.00067104,             0.00067104,             0.00067104
                     83,                0.93696,                 1.5571,                0.76271,                 1.0832,                0.62401,                0.67808,                0.68215,                0.42883,                0.67877,                0.60164,                0.66078,                0.37789,                 1.4173,                 2.4163,                 1.2613,                 1.4957,             0.00066554,             0.00066554,             0.00066554
                     84,                0.96822,                 1.6113,                0.76971,                 1.0932,                0.70648,                0.61705,                0.68292,                0.42275,                0.69475,                0.59694,                0.65663,                0.35965,                 1.4205,                 2.5282,                 1.2443,                 1.5188,             0.00066005,             0.00066005,             0.00066005
                     85,                0.95743,                 1.5396,                0.76438,                  1.092,                  0.733,                0.61195,                 0.6801,                0.43077,                0.72934,                0.61655,                0.67814,                0.37541,                  1.405,                 2.4385,                 1.1565,                 1.4762,             0.00065455,             0.00065455,             0.00065455
                     86,                0.94833,                 1.5533,                0.75147,                 1.0684,                0.72329,                0.63375,                0.70707,                0.44282,                0.72166,                0.63001,                0.68472,                 0.3903,                 1.4569,                 2.5051,                 1.1153,                   1.53,             0.00064905,             0.00064905,             0.00064905
                     87,                0.95151,                 1.5746,                0.76539,                 1.0966,                0.70688,                 0.6664,                0.69333,                0.43649,                0.70181,                0.66209,                0.67999,                0.38196,                 1.4369,                  2.476,                 1.0839,                 1.5259,             0.00064355,             0.00064355,             0.00064355
                     88,                 0.9284,                 1.5214,                0.72477,                 1.0794,                0.70029,                0.68262,                 0.7061,                0.45168,                0.73101,                0.63882,                0.68977,                0.39558,                 1.3857,                 2.4958,                 1.1395,                 1.4852,             0.00063805,             0.00063805,             0.00063805
